,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
20282,2018,Male,India,Medicine and Surgery,From 70 to 79,60
20283,2016,Male,India,Pharmacists and Pharmacy Technicians,From 40 to 49,60
20284,2020,Female,Pakistan,Nursing and Midwifery,From 20 to 29,60
20285,2018,Female,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,60
20287,2017,Female,Palestine,Dentistry and Related Specialties,From 30 to 39,60
20290,2021,Male,Lebanon,Nursing and Midwifery,From 30 to 39,60
20292,2020,Female,Yemen,Medicine and Surgery,From 30 to 39,60
20295,2017,Male,Saudi Arabia,Nursing and Midwifery,From 60 to 69,60
20301,2016,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,60
20306,2018,Female,Yemen,Medicine and Surgery,From 30 to 39,60
20307,2020,Male,Philippines,Nursing and Midwifery,From 60 to 69,60
20308,2021,Female,India,Laboratories and Medical Technology,From 50 to 59,60
20312,2020,Male,Bangladesh,Medicine and Surgery,From 50 to 59,60
20315,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,From 20 to 29,60
20319,2017,Male,Yemen,Dentistry and Related Specialties,From 30 to 39,59
20320,2017,Female,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,59
20321,2020,Male,Saudi Arabia,Health Administration and Community Health,From 60 to 69,59
20322,2021,Male,Nigeria,Medicine and Surgery,From 50 to 59,59
20323,2018,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,59
20324,2016,Female,India,Medicine and Surgery,From 60 to 69,59
20327,2021,Male,Philippines,Nursing and Midwifery,From 60 to 69,59
20328,2018,Male,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,59
20329,2016,Male,Saudi Arabia,Medicine and Surgery,From 70 to 79,59
20334,2019,Female,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,59
20336,2019,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,59
20339,2017,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,59
20340,2021,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,59
20347,2022,Male,Lebanon,Dentistry and Related Specialties,From 30 to 39,59
20350,2020,Female,Syria,Medicine and Surgery,From 40 to 49,59
20351,2022,Female,Jordan,Dentistry and Related Specialties,From 40 to 49,59
20352,2016,Male,United States,Medicine and Surgery,From 60 to 69,59
20358,2016,Female,Philippines,Nursing and Midwifery,From 70 to 79,59
20360,2017,Male,United States,Medicine and Surgery,From 50 to 59,59
20364,2016,Female,China,Nursing and Midwifery,From 20 to 29,58
20365,2022,Female,Palestine,Therapy and Rehabilitation,From 20 to 29,58
20368,2017,Male,Jordan,Medicine and Surgery,From 50 to 59,58
20371,2017,Female,Syria,Pharmacists and Pharmacy Technicians,From 20 to 29,58
20372,2021,Male,Yemen,Pharmacists and Pharmacy Technicians,From 20 to 29,58
20373,2017,Male,India,Nursing and Midwifery,From 40 to 49,58
20375,2020,Male,India,Nursing and Midwifery,From 40 to 49,58
20377,2018,Female,India,Dentistry and Related Specialties,From 40 to 49,58
20378,2022,Female,Yemen,Health Administration and Community Health,From 20 to 29,58
20385,2020,Female,Egypt,Dentistry and Related Specialties,From 50 to 59,58
20387,2021,Female,India,Laboratories and Medical Technology,From 20 to 29,58
20389,2020,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,58
20390,2021,Male,Philippines,Therapy and Rehabilitation,From 20 to 29,58
20391,2022,Female,Egypt,Laboratories and Medical Technology,From 40 to 49,58
20395,2017,Male,Bangladesh,Medicine and Surgery,From 50 to 59,58
20396,2016,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,58
20397,2021,Male,Palestine,Dentistry and Related Specialties,From 40 to 49,58
20398,2020,Female,United Kingdom,Nursing and Midwifery,From 50 to 59,58
20401,2017,Male,Egypt,Technicians and Health Assistants,From 20 to 29,58
20409,2016,Male,India,Nursing and Midwifery,From 40 to 49,57
20415,2021,Male,Lebanon,Medicine and Surgery,From 50 to 59,57
20418,2019,Female,Sudan,Laboratories and Medical Technology,From 20 to 29,57
20419,2018,Female,India,Medicine and Surgery,From 50 to 59,57
20420,2021,Female,Tunisia,Nursing and Midwifery,From 30 to 39,57
20421,2022,Male,Jordan,Medicine and Surgery,From 70 to 79,57
20423,2018,Male,Jordan,Medicine and Surgery,From 50 to 59,57
20425,2022,Female,Pakistan,Dentistry and Related Specialties,From 30 to 39,57
20431,2019,Male,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,57
20433,2020,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,57
20434,2022,Male,Syria,Therapy and Rehabilitation,From 30 to 39,57
20435,2022,Female,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,57
20436,2022,Male,Pakistan,Laboratories and Medical Technology,From 40 to 49,57
20443,2022,Male,Saudi Arabia,Technicians and Health Assistants,Less Than 20,57
20446,2016,Male,Egypt,Therapy and Rehabilitation,From 40 to 49,57
20449,2018,Female,United Kingdom,Nursing and Midwifery,From 40 to 49,57
20450,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,57
20460,2019,Female,Philippines,Therapy and Rehabilitation,From 20 to 29,56
20461,2016,Female,Philippines,Laboratories and Medical Technology,From 20 to 29,56
20462,2022,Male,India,Dentistry and Related Specialties,From 50 to 59,56
20465,2022,Female,India,Medicine and Surgery,From 60 to 69,56
20468,2022,Female,Palestine,Pharmacists and Pharmacy Technicians,From 30 to 39,56
20470,2021,Male,Jordan,Therapy and Rehabilitation,From 40 to 49,56
20472,2022,Male,Philippines,Pharmacists and Pharmacy Technicians,From 30 to 39,56
20475,2016,Female,Egypt,Dentistry and Related Specialties,From 60 to 69,56
20476,2016,Male,Bangladesh,Medicine and Surgery,From 50 to 59,56
20480,2018,Female,China,Nursing and Midwifery,From 30 to 39,56
20488,2022,Male,India,Medicine and Surgery,From 70 to 79,56
20491,2019,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,55
20493,2019,Male,Egypt,Laboratories and Medical Technology,From 50 to 59,55
20494,2021,Male,Pakistan,Nursing and Midwifery,From 30 to 39,55
20501,2022,Female,Sudan,Laboratories and Medical Technology,From 50 to 59,55
20503,2017,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,55
20506,2017,Male,Saudi Arabia,Nursing and Midwifery,From 20 to 29,55
20507,2020,Female,Indonesia,Nursing and Midwifery,From 20 to 29,55
20510,2021,Male,India,Laboratories and Medical Technology,From 50 to 59,55
20512,2016,Female,United States,Nursing and Midwifery,From 60 to 69,55
20516,2018,Male,India,Pharmacists and Pharmacy Technicians,From 50 to 59,55
20519,2020,Male,United Kingdom,Medicine and Surgery,From 60 to 69,55
20527,2019,Female,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,55
20528,2017,Female,Pakistan,Pharmacists and Pharmacy Technicians,From 30 to 39,55
20533,2021,Female,Syria,Medicine and Surgery,From 60 to 69,55
20534,2022,Male,Sudan,Nursing and Midwifery,From 50 to 59,55
20535,2018,Male,Yemen,Dentistry and Related Specialties,From 30 to 39,55
20537,2017,Male,Egypt,Therapy and Rehabilitation,From 40 to 49,55
20541,2017,Male,India,Pharmacists and Pharmacy Technicians,From 40 to 49,55
20546,2020,Male,Philippines,Laboratories and Medical Technology,From 20 to 29,54
20549,2018,Male,India,Laboratories and Medical Technology,From 50 to 59,54
20550,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 60 to 69,54
20551,2020,Female,Indonesia,Nursing and Midwifery,From 30 to 39,54
20552,2022,Male,Pakistan,Nursing and Midwifery,From 20 to 29,54
20554,2018,Male,Egypt,Laboratories and Medical Technology,From 50 to 59,54
20557,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 60 to 69,54
20560,2021,Female,Jordan,Dentistry and Related Specialties,From 20 to 29,54
20561,2016,Female,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,54
20562,2017,Male,Palestine,Dentistry and Related Specialties,From 30 to 39,54
20564,2018,Female,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,54
20565,2022,Male,Jordan,Nursing and Midwifery,From 20 to 29,54
20570,2019,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,54
20574,2019,Male,Syria,Medicine and Surgery,From 30 to 39,54
20575,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,54
20578,2018,Female,Yemen,Laboratories and Medical Technology,From 30 to 39,54
20586,2022,Male,Lebanon,Medicine and Surgery,From 60 to 69,53
20589,2022,Female,India,Therapy and Rehabilitation,From 20 to 29,53
20590,2021,Male,Palestine,Medicine and Surgery,From 20 to 29,53
20592,2016,Male,Lebanon,Nursing and Midwifery,From 40 to 49,53
20593,2022,Male,Pakistan,Dentistry and Related Specialties,From 40 to 49,53
20595,2016,Male,Yemen,Dentistry and Related Specialties,From 30 to 39,53
20599,2018,Female,Jordan,Laboratories and Medical Technology,From 30 to 39,53
20604,2016,Male,United Kingdom,Medicine and Surgery,From 50 to 59,53
20605,2021,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,53
20617,2019,Male,India,Pharmacists and Pharmacy Technicians,From 50 to 59,53
20623,2017,Female,Egypt,Dentistry and Related Specialties,From 60 to 69,53
20627,2016,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,53
20629,2019,Female,India,Dentistry and Related Specialties,From 40 to 49,53
20630,2019,Female,United Kingdom,Nursing and Midwifery,From 30 to 39,52
20633,2018,Female,Czech Republic,Nursing and Midwifery,From 30 to 39,52
20636,2016,Male,Egypt,Nursing and Midwifery,From 40 to 49,52
20640,2020,Female,India,Dentistry and Related Specialties,From 40 to 49,52
20641,2021,Female,Yemen,Nursing and Midwifery,From 20 to 29,52
20642,2018,Male,Bangladesh,Medicine and Surgery,From 50 to 59,52
20644,2022,Male,United States,Medicine and Surgery,From 60 to 69,52
20647,2017,Male,United Kingdom,Medicine and Surgery,From 50 to 59,52
20649,2016,Male,Palestine,Pharmacists and Pharmacy Technicians,From 30 to 39,52
20651,2017,Male,Sudan,Nursing and Midwifery,From 60 to 69,52
20657,2016,Female,Australia,Nursing and Midwifery,From 30 to 39,52
20658,2022,Male,Sudan,Therapy and Rehabilitation,From 60 to 69,52
20662,2022,Male,Sudan,Medicine and Surgery,From 70 to 79,51
20665,2019,Male,Jordan,Medicine and Surgery,From 50 to 59,51
20667,2022,Male,Jordan,Medicine and Surgery,From 20 to 29,51
20671,2019,Male,Egypt,Therapy and Rehabilitation,From 40 to 49,51
20674,2018,Female,Pakistan,Nursing and Midwifery,From 50 to 59,51
20677,2022,Female,Syria,Therapy and Rehabilitation,From 30 to 39,51
20682,2021,Male,Philippines,Dentistry and Related Specialties,From 30 to 39,51
20683,2018,Female,Syria,Pharmacists and Pharmacy Technicians,From 20 to 29,51
20686,2016,Female,Pakistan,Pharmacists and Pharmacy Technicians,From 30 to 39,51
20694,2021,Female,Lebanon,Nursing and Midwifery,From 40 to 49,51
20695,2022,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,51
20697,2016,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,51
20698,2018,Male,Palestine,Medicine and Surgery,From 30 to 39,51
20699,2021,Male,Algeria,Medicine and Surgery,From 30 to 39,51
20702,2022,Female,Syria,Dentistry and Related Specialties,From 60 to 69,50
20703,2021,Female,South Korea,Nursing and Midwifery,From 30 to 39,50
20706,2021,Female,Palestine,Laboratories and Medical Technology,From 30 to 39,50
20709,2017,Female,India,Medicine and Surgery,From 60 to 69,50
20714,2018,Female,Indonesia,Nursing and Midwifery,From 30 to 39,50
20718,2017,Female,Syria,Medicine and Surgery,From 50 to 59,50
20719,2022,Female,Pakistan,Medicine and Surgery,From 60 to 69,50
20721,2016,Female,Syria,Medicine and Surgery,From 50 to 59,50
20722,2019,Female,Egypt,Dentistry and Related Specialties,From 50 to 59,50
20723,2016,Male,Syria,Pharmacists and Pharmacy Technicians,From 40 to 49,50
20724,2019,Male,Philippines,Laboratories and Medical Technology,From 20 to 29,50
20726,2019,Female,China,Nursing and Midwifery,From 20 to 29,50
20727,2020,Male,Palestine,Medicine and Surgery,From 30 to 39,50
20729,2018,Female,Syria,Medicine and Surgery,From 50 to 59,50
20730,2021,Male,Pakistan,Laboratories and Medical Technology,From 30 to 39,50
20734,2022,Female,Egypt,Dentistry and Related Specialties,From 60 to 69,50
20737,2021,Female,Sudan,Dentistry and Related Specialties,From 40 to 49,50
20739,2016,Female,Yemen,Laboratories and Medical Technology,From 30 to 39,50
20740,2018,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,50
20742,2017,Male,Jordan,Laboratories and Medical Technology,From 30 to 39,50
20744,2019,Male,Bangladesh,Medicine and Surgery,From 50 to 59,50
20745,2016,Female,Yemen,Medicine and Surgery,From 30 to 39,50
20746,2020,Male,India,Pharmacists and Pharmacy Technicians,From 40 to 49,50
20749,2022,Female,Tunisia,Nursing and Midwifery,From 40 to 49,50
20756,2019,Female,Syria,Pharmacists and Pharmacy Technicians,From 30 to 39,50
20758,2021,Female,India,Medicine and Surgery,From 60 to 69,50
20759,2016,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,50
20766,2016,Female,Sudan,Medicine and Surgery,From 50 to 59,49
20769,2018,Female,Egypt,Dentistry and Related Specialties,From 50 to 59,49
20771,2016,Female,Lebanon,Nursing and Midwifery,From 40 to 49,49
20776,2021,Female,Jordan,Nursing and Midwifery,From 50 to 59,49
20777,2022,Male,Saudi Arabia,Health Administration and Community Health,Less Than 20,49
20783,2019,Female,Saudi Arabia,Medicine and Surgery,From 40 to 49,49
20785,2016,Female,United States,Nursing and Midwifery,From 50 to 59,49
20786,2020,Female,Pakistan,Nursing and Midwifery,From 50 to 59,49
20787,2021,Female,Sudan,Pharmacists and Pharmacy Technicians,From 20 to 29,49
20788,2018,Male,India,Technicians and Health Assistants,From 30 to 39,49
20791,2021,Male,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,49
20793,2018,Male,United States,Medicine and Surgery,From 50 to 59,49
20795,2017,Male,Egypt,Nursing and Midwifery,From 40 to 49,49
20798,2019,Male,India,Technicians and Health Assistants,From 30 to 39,49
20804,2022,Male,Palestine,Therapy and Rehabilitation,From 30 to 39,49
20806,2021,Female,Nepal,Nursing and Midwifery,From 20 to 29,49
20807,2019,Male,United States,Medicine and Surgery,From 50 to 59,49
20808,2022,Female,Palestine,Medicine and Surgery,From 20 to 29,49
20809,2021,Male,India,Therapy and Rehabilitation,From 20 to 29,49
20817,2019,Male,Saudi Arabia,Laboratories and Medical Technology,From 60 to 69,49
20819,2021,Male,Algeria,Medicine and Surgery,From 40 to 49,49
20824,2022,Male,Greece,Medicine and Surgery,From 50 to 59,49
20830,2022,Male,Jordan,Dentistry and Related Specialties,From 20 to 29,48
20833,2022,Male,Sudan,Laboratories and Medical Technology,From 60 to 69,48
20834,2020,Female,India,Laboratories and Medical Technology,From 50 to 59,48
20838,2019,Male,India,Laboratories and Medical Technology,From 50 to 59,48
20839,2022,Male,Philippines,Nursing and Midwifery,From 60 to 69,48
20841,2018,Female,United Kingdom,Nursing and Midwifery,From 60 to 69,48
20842,2016,Male,United Kingdom,Medicine and Surgery,From 60 to 69,48
20844,2017,Male,Syria,Pharmacists and Pharmacy Technicians,From 40 to 49,48
20847,2022,Male,Sudan,Dentistry and Related Specialties,From 20 to 29,48
20850,2021,Male,Syria,Pharmacists and Pharmacy Technicians,From 20 to 29,48
20855,2021,Male,United States,Medicine and Surgery,From 60 to 69,48
20856,2019,Female,Indonesia,Nursing and Midwifery,From 30 to 39,48
20857,2021,Male,Ireland,Medicine and Surgery,From 50 to 59,48
20859,2021,Female,Jordan,Pharmacists and Pharmacy Technicians,From 20 to 29,48
20860,2019,Female,Jordan,Pharmacists and Pharmacy Technicians,From 30 to 39,48
20861,2017,Female,Sudan,Medicine and Surgery,From 50 to 59,48
20863,2017,Male,Palestine,Pharmacists and Pharmacy Technicians,From 30 to 39,48
20866,2019,Female,Syria,Medicine and Surgery,From 40 to 49,48
20868,2016,Male,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,48
20869,2018,Male,Egypt,Therapy and Rehabilitation,From 40 to 49,48
20870,2019,Female,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,48
20872,2016,Female,Ireland,Nursing and Midwifery,From 30 to 39,48
20874,2020,Male,Yemen,Pharmacists and Pharmacy Technicians,From 40 to 49,48
20876,2020,Male,United States,Medicine and Surgery,From 50 to 59,48
20877,2022,Male,Yemen,Dentistry and Related Specialties,From 20 to 29,48
20881,2021,Male,India,Dentistry and Related Specialties,From 50 to 59,47
20883,2021,Female,Nigeria,Nursing and Midwifery,From 30 to 39,47
20886,2018,Male,Sudan,Nursing and Midwifery,From 60 to 69,47
20890,2019,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,47
20892,2022,Female,South Korea,Nursing and Midwifery,From 30 to 39,47
20893,2018,Female,Philippines,Therapy and Rehabilitation,From 20 to 29,47
20894,2017,Male,Saudi Arabia,Medicine and Surgery,From 70 to 79,47
20898,2022,Male,Tunisia,Nursing and Midwifery,From 50 to 59,47
20899,2016,Male,Jordan,Laboratories and Medical Technology,From 30 to 39,47
20900,2020,Male,Syria,Medicine and Surgery,From 70 to 79,47
20902,2021,Male,Egypt,Nursing and Midwifery,From 50 to 59,47
20911,2017,Female,Lebanon,Nursing and Midwifery,From 40 to 49,47
20913,2017,Female,Philippines,Pharmacists and Pharmacy Technicians,From 60 to 69,47
20915,2017,Male,Saudi Arabia,Technicians and Health Assistants,From 60 to 69,47
20916,2021,Female,Egypt,Therapy and Rehabilitation,From 20 to 29,47
20918,2022,Male,Pakistan,Medicine and Surgery,From 20 to 29,47
20922,2022,Female,Algeria,Medicine and Surgery,From 40 to 49,47
20926,2018,Male,India,Pharmacists and Pharmacy Technicians,From 40 to 49,47
20928,2019,Male,Sudan,Dentistry and Related Specialties,From 30 to 39,47
20933,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,From 60 to 69,46
20934,2020,Male,Palestine,Pharmacists and Pharmacy Technicians,From 30 to 39,46
20937,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 50 to 59,46
20939,2017,Male,India,Technicians and Health Assistants,From 30 to 39,46
20942,2019,Male,Egypt,Nursing and Midwifery,From 30 to 39,46
