,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
3385,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,General Medical Oncology,12
3390,2021,Makkah,King Abdullah Medical City in the Holy Capital,Anesthesia,12
3391,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Emergency Medicine,12
3393,2017,Riyadh,Medical City of King Saud University in Riyadh,Diagnostic Radiology,12
3396,2018,Jeddah,King Fahd General Hospital in Jeddah,Urology,12
3397,2018,Yanbu,The program of the Ministry of Health Yanbu,Family Medicine,12
3398,2020,Khobar,King Fahd University Hospital in Khobar,Ophthalmology,12
3400,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Periodontics,12
3404,2020,Madinah,King Fahd Hospital in Medina,Emergency Nursing,12
3405,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics Emergency Medicine,12
3406,2020,Dammam,Dammam Medical Complex,Diagnostic Radiology,12
3407,2019,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,General Surgery,12
3408,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Body Imaging & Non-Vascular Intervention,12
3409,2020,Jubail,Royal Commission Medical Center in Jubail,Internal Medicine,12
3411,2021,Taif,Eradah Mental Health Complex in Taif,Psychiatry,12
3413,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Rheumatology,12
3414,2020,Jubail,Royal Commission Medical Center in Jubail,Family Medicine,12
3415,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Obstetrics & Gynecology,12
3420,2017,Riyadh,King Khalid University Hospital in Riyadh,Adults Endocrinology & Metabolism,12
3421,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics Intensive Care,12
3422,2021,Najran,General Directorate of Health Affairs in Najran Region,Family Medicine,12
3423,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Body Imaging & Non-Vascular Intervention,12
3424,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Respiratory Medicine,12
3428,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Orthopedic Surgery,12
3429,2021,Riyadh,Specialized Medical Center Hospital in Riyadh,Obstetrics & Gynecology,12
3430,2020,Jubail,Royal Commission Medical Center in Jubail,Pediatrics,12
3432,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Periodontics,12
3436,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Neurosurgery,12
3437,2022,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Retina Surgery,12
3438,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Neurosurgery,12
3439,2016,Makkah,King Abdullah Medical City in the Holy Capital,General Surgery,12
3441,2021,Riyadh,Medical City of King Saud University in Riyadh,Clinical Pharmacy,11
3443,2021,Buraidah,Prince Sultan Cardiac Center in Buraidah,Adult Cardiology,11
3449,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Anesthesia,11
3450,2021,Dammam,Dammam Medical Complex,Diagnostic Radiology,11
3454,2021,Dammam,King Fahd Specialist Hospital in Dammam,Anesthesia,11
3457,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Medical Retina & Uveitis,11
3458,2018,Makkah,Hera General Hospital in Mecca,Pediatrics,11
3459,2021,Riyadh,King Saud Medical City in Riyadh,Anesthesia,11
3460,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,General Surgery,11
3461,2019,Jeddah,King Fahd General Hospital in Jeddah,Anesthesia,11
3462,2018,Makkah,Alnoor Specialist Hospital in Mecca,Otorhinolaryngology Head And Neck Surgery,11
3464,2016,Makkah,King Abdullah Medical City in the Holy Capital,Oncology Nursing,11
3467,2018,Madinah,Uhud General Hospital in Medina,Otorhinolaryngology Head And Neck Surgery,11
3468,2018,Makkah,King Abdulaziz Hospital in Mecca,Diagnostic Radiology,11
3470,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ophthalmology,11
3471,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Cardiology,11
3472,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Cardiology,11
3474,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Urology,11
3475,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Medical Retina & Uveitis,11
3476,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Radiology Technology & Medical Imaging,11
3477,2021,Riyadh,Riyadh Second Health Cluster,Adult Critical Care Medicine,11
3479,2021,Riyadh,Riyadh Second Health Cluster,Diagnostic Radiology,11
3481,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,Obstetrics & Gynecology,11
3482,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Adult Infectious Diseases,11
3483,2018,Madinah,Medina Cardiac Center,Cardiac Care Nursing,11
3484,2019,Jeddah,King Abdullah Medical Complex in Jeddah,General Surgery,11
3488,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Urology,11
3489,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Internal Medicine,11
3490,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Dentistry,11
3491,2018,Riyadh,King Khalid University Hospital in Riyadh,Adult Critical Care Medicine,11
3492,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,Orthodontic and Dentofacial Orthopedics,11
3493,2021,Alkharj  ,The program of the Ministry of Health in Al-Kharj,Saudi Postgraduate Diploma In Paediatrics,11
3494,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Nephrology,11
3497,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthodontic and Dentofacial Orthopedics,11
3498,2016,Alqatif  ,AlQatif Central Hospital,General Surgery,11
3499,2021,Riyadh,Security Forces Hospital in Riyadh,Anesthesia,11
3500,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Anesthesia,11
3502,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,General Surgery,11
3503,2020,Yanbu,Royal Commission Medical Center in Yanbu,Internal Medicine,11
3504,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Orthopedic Surgery,11
3505,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Neurology,11
3507,2021,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,Obstetrics & Gynecology,11
3508,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Anatomic Pathology,11
3509,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,Restorative Dentistry,11
3510,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Diagnostic Radiology,11
3511,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Critical Care Medicine,11
3512,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Family Medicine,11
3515,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Orthopedic Surgery,11
3516,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Obstetrics & Gynecology,11
3517,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthopedic Surgery,11
3519,2021,Madinah,King Fahd Hospital in Medina,Emergency Nursing,11
3522,2021,Manama,Salmaniya Medical Complex in Manama,General Surgery,11
3524,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Anatomic Pathology,11
3525,2021,Manama,Salmaniya Medical Complex in Manama,Diagnostic Radiology,11
3528,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Anesthesia,11
3529,2021,Jeddah,King Fahd General Hospital in Jeddah,Saudi Postgraduate Diploma In Emergency Medicine,11
3532,2021,Manama,King Hamad University Hospital in Kingdom of Bahrain,Pediatrics,11
3533,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Critical Care Nursing,11
3534,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,Obstetrics & Gynecology,11
3540,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Pediatrics,11
3542,2021,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Prosthodontics,11
3546,2019,Dhahran,Eye Specialist Hospital in Dhahran,Ophthalmology,11
3547,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Urology,11
3551,2021,Jeddah,King Fahd General Hospital in Jeddah,Anesthesia,11
3554,2017,Bisha,Directorate of Health Affairs in Bisha Governorate,Internal Medicine,11
3555,2021,Jeddah,King Fahd General Hospital in Jeddah,Emergency Nursing,11
3556,2016,Madinah,Forensic Medicine Center in Medina,Forensic Medicine,11
3558,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Family Medicine,11
3559,2018,Riyadh,King Fahad Medical City in Riyadh,Pediatric Endocrinology And Metabolism,11
3560,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Dentistry,11
3561,2018,Riyadh,King Fahad Medical City in Riyadh,General Medical Oncology,11
3564,2018,Jeddah,King Fahd General Hospital in Jeddah,Dermatology,11
3565,2021,Makkah,Alnoor Specialist Hospital in Mecca,Otorhinolaryngology Head And Neck Surgery,11
3567,2021,Khobar,King Fahd University Hospital in Khobar,Anesthesia,11
3569,2018,Jeddah,King Abdullah Medical Complex in Jeddah,Internal Medicine,11
3570,2021,Khobar,King Fahd University Hospital in Khobar,Dermatology,11
3576,2016,Riyadh,King Fahad Medical City in Riyadh,Pediatric Gastroenterology And Nutrition,11
3578,2016,Taif,King Abdulaziz Specialist Hospital in Taif,Internal Medicine,11
3580,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Otorhinolaryngology Head And Neck Surgery,11
3581,2019,Dammam,Dammam Medical Complex,Orthopedic Surgery,11
3582,2022,Alkharj  ,The program of the Ministry of Health in Al-Kharj,Saudi Postgraduate Diploma In Paediatrics,11
3583,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Clinical Pharmacy,11
3584,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,General Surgery,11
3585,2016,Taif,King Faisal Medical Complex in Taif,Obstetrics & Gynecology,11
3587,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Neurology,11
3590,2021,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,Orthodontic and Dentofacial Orthopedics,11
3591,2019,Buraidah,Prince Sultan Cardiac Center in Buraidah,Cardiac Care Nursing,11
3594,2018,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Orthodontic and Dentofacial Orthopedics,11
3596,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Adults Endocrinology & Metabolism,11
3597,2017,Hail,King Khalid Hospital in Hail,Internal Medicine,11
3599,2018,Jeddah,JointProgram for Orthodontics- Jeddah,Orthodontic and Dentofacial Orthopedics,11
3601,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Anatomic Pathology,11
3602,2016,Riyadh,King Fahad Medical City in Riyadh,Perinatal Neonatal Medicine,11
3603,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Emergency Nursing,11
3608,2021,Madinah,King Fahd Hospital in Medina,Orthopedic Surgery,11
3609,2017,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,General Surgery,11
3610,2016,Riyadh,King Fahad Medical City in Riyadh,Diabetes​,11
3611,2021,Jeddah,East Jeddah Hospital in Jeddah,General Surgery,11
3612,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Hematology,11
3613,2018,Makkah,King Abdullah Medical City in the Holy Capital,Adult Critical Care Nursing,11
3616,2021,Dammam,King Fahd Specialist Hospital in Dammam,Pediatric Neurology,11
3617,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Infectious Diseases,11
3621,2018,Khobar,King Fahd University Hospital in Khobar,Anesthesia,11
3623,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Obstetrics & Gynecology,11
3624,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Pediatrics,11
3625,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Anatomic Pathology,11
3626,2021,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,General Surgery,11
3629,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Infectious Diseases,11
3632,2016,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Adult Cardiology,11
3633,2017,Dammam,Security Forces Hospital in Dammam,Obstetrics & Gynecology,11
3634,2016,Alqatif  ,AlQatif Central Hospital,Anesthesia,11
3635,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Otorhinolaryngology Head And Neck Surgery,11
3636,2016,Dammam,Dammam Medical Complex,Diagnostic Radiology,11
3638,2016,Riyadh,King Fahad Medical City in Riyadh,Pediatrics Infectious Diseases,11
3640,2017,Dammam,Forensic Medicine Center in Dammam,Forensic Medicine,11
3641,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,General Surgery,11
3642,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics Emergency Medicine,11
3644,2016,Dammam,King Fahd Specialist Hospital in Dammam,Neurology,11
3645,2018,Riyadh,Security Forces Hospital in Riyadh,Otorhinolaryngology Head And Neck Surgery,11
3647,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Emergency Nursing,11
3649,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Midwifery Nursing,11
3651,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Neurology,11
3652,2016,Riyadh,King Fahad Medical City in Riyadh,Gastroenterology,11
3654,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Endocrinology And Metabolism,11
3655,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Dermatology,11
3657,2021,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,11
3658,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Medicine,11
3660,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Anesthesia,11
3662,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Preventive Medicine,11
3663,2017,Dammam,King Fahd Specialist Hospital in Dammam,Neurology,11
3666,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Urology,11
3668,2016,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Family Medicine,11
3669,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Intensive Care,11
3671,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Interventional Neuro-Radiology,11
3672,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthopedic Surgery,11
3676,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Infectious Diseases,11
3677,2017,Riyadh,JointProgram for Preventive medicine-Riyadh,Community Medicine (Health Informatics),11
3678,2017,Riyadh,JointProgram for Periodontics- Riyadh,Periodontics,11
3679,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthodontic and Dentofacial Orthopedics,11
3683,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ophthalmology,11
3684,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Endocrinology And Metabolism,11
3685,2017,Najran,General Directorate of Health Affairs in Najran Region,General Surgery,11
3686,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Otorhinolaryngology Head And Neck Surgery,11
3689,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Oral And Maxillofacial Surgery,11
3691,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Nephrology,11
3694,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Pediatric Dentistry,11
3695,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Psychiatry,11
3698,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anatomic Pathology,11
3700,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Anesthesia,11
3705,2018,Abha,General Directorate of Health Affairs in Aseer Region,Urology,11
3708,2020,Riyadh,King Fahad Medical City in Riyadh,Cardiac Care Nursing,11
3709,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics Intensive Care,11
3711,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Pharmacy,11
3712,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,11
3713,2017,Makkah,Alnoor Specialist Hospital in Mecca,Adult Critical Care Medicine,11
3717,2020,Dubai,Rashed Hospital in Dubai,Neurology,11
3719,2019,Riyadh,JointProgram for Preventive medicine-Riyadh,Community Medicine (Health Informatics),11
3720,2019,Najran,General Directorate of Health Affairs in Najran Region,Emergency Nursing,11
3721,2019,Najran,General Directorate of Health Affairs in Najran Region,Diagnostic Radiology,11
3724,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Obstetrics & Gynecology,11
3725,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Gastroenterology,11
3726,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Orthopedic Surgery,11
3727,2020,Hofuf,King Fahad Hospital in Hofuf,Urology,11
3728,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Clinical Neurosurgery,11
3729,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Cardiac Surgery,11
3730,2019,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Prosthodontics,11
