,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
2316,2016,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Ministry of Health,11
2317,2021,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense Medical Services,11
2319,2016,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Ministry of National Guard,10
2322,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense,10
2325,2019,Riyadh,"Joint training program in the central region, Riyadh",Unknown,10
2326,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Majmaah University,10
2328,2018,Alqatif  ,AlQatif Central Hospital,Personal Contract,10
2332,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense Medical Services,10
2334,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense / Personal Contract,10
2335,2018,Dammam,Dammam Medical Complex,Unknown,10
2338,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,Personal Contract,10
2339,2018,Riyadh,King Khalid University Hospital in Riyadh,Unknown,10
2340,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Khaled Eye Specialist Hospital,10
2343,2020,Riyadh,Dallah Hospital in Riyadh,Unknown,10
2344,2018,Buraidah,Qassim health Cluster,Personal Contract,10
2348,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,10
2350,2019,Jeddah,International Medical Center in Jeddah,Private Sector,10
2357,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Private Sector,10
2359,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense / Personal Contract,10
2360,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,10
2365,2022,Alkharj  ,The program of the Ministry of Health in Al-Kharj,Ministry of Health,10
2366,2017,Taif,The program of the Ministry of Health in Taif ,Ministry of Health,10
2368,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Unknown,10
2370,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense Medical Services,10
2373,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Qassim University,10
2374,2019,Buraidah,The program of the Ministry of Health in Al-Qassim,Unknown,10
2377,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,10
2380,2017,Alqatif  ,AlQatif Central Hospital,Personal Contract,10
2381,2018,Albahah,General Directorate of Health Affairs in Al-Baha Region,Personal Contract,10
2382,2019,Taif,"Joint training program in the Western Region, Taif",Ministry of Health,10
2383,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense Medical Services,10
2384,2019,Riyadh,King Saud Medical City in Riyadh,Ministry of Defense Medical Services,10
2387,2018,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,10
2390,2018,Abha,General Directorate of Health Affairs in Aseer Region,King Faisal Medical City for Southern Regions,10
2391,2021,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Defense Medical Services,10
2396,2020,Madinah,Forensic Medicine Center in Medina,Ministry of Health,10
2400,2020,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Unknown,10
2402,2017,Makkah,Maternity and Children Hospital in Mecca,Personal Contract,10
2405,2020,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Defense Medical Services,10
2406,2016,Riyadh,Al-Iman Hospital in Riyadh,Ministry of Health,10
2407,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,Personal Contract,10
2409,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,10
2411,2021,Tabuk,King Fahd Specialist Hospital in Tabuk,Ministry of Health,10
2413,2018,Unaizah,King Saud Hospital in Unaizah,Ministry of Health,10
2414,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense Medical Services,10
2415,2021,Abha,The Medical City at King Khalid University,Ministry of Health,10
2418,2016,Alqatif  ,AlQatif Central Hospital,Personal Contract,10
2419,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,10
2420,2020,Riyadh,Joint Training Program in the Central Region,Unknown,10
2421,2020,Bisha,Directorate of Health Affairs in Bisha Governorate,Unknown,10
2423,2017,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,10
2426,2018,Taif,"Joint training program in the Western Region, Taif",Ministry of Health,10
2429,2016,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Dr. Soliman Fakeeh Hospital,10
2431,2019,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Unknown,10
2432,2020,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,Ministry of Health,10
2435,2016,Makkah,King Abdulaziz Hospital in Mecca,Personal Contract,10
2437,2021,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Ministry of Health,10
2438,2021,Alkharj  ,The program of the Ministry of Health in Al-Kharj,Ministry of Health,10
2439,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,10
2440,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense / Personal Contract,10
2443,2018,Madinah,King Fahd Hospital in Medina,Unknown,10
2444,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Personal Contract,10
2445,2016,Makkah,Maternity and Children Hospital in Mecca,Personal Contract,10
2447,2019,Jouf,Muktt 5 primary health care center in Aljowf,Ministry of Health,10
2450,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense / Personal Contract,10
2455,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,10
2456,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Kuwait Ministry of Health,10
2457,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Khalid University,10
2459,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Defense Medical Services,10
2460,2017,Riyadh,King Khalid University Hospital in Riyadh,Majmaah University,10
2462,2020,Jeddah,Jeddah Medical Specialized Hospital,Ministry of Health,10
2464,2021,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,Ministry of Health,10
2467,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,"King Abdulaziz Hospital for National Guards, Al Hassa",10
2473,2021,Dhahran,Eye Specialist Hospital in Dhahran,Unknown,10
2475,2021,Riyadh,Dental complex in north of Riyadh,Ministry of Health,10
2478,2016,Jazan,General Directorate of Health Affairs in Jazan Region,Personal Contract,10
2479,2017,Makkah,Joint Family and Community Medicine Program,Ministry of Health,10
2483,2020,Jouf,The program of the Ministry of Health in Al-Jouf,Ministry of Health,10
2484,2016,Riyadh,JointProgram for Restorative Dentistry- Central,Personal Contract,10
2486,2020,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,10
2487,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Health,10
2488,2019,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense / Personal Contract,10
2490,2019,Makkah,King Abdullah Medical City in the Holy Capital,Personal Contract,10
2494,2016,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,10
2499,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Qassim University,9
2501,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,9
2502,2019,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense Medical Services,9
2503,2018,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense Medical Services,9
2504,2016,Jeddah,JointProgram for Orthodontics- Jeddah,Ministry of Health,9
2505,2019,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense / Personal Contract,9
2506,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense,9
2508,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense / Personal Contract,9
2510,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Khalid University,9
2512,2021,Jeddah,Saudi German Hospital in Jeddah,Ministry of Health,9
2513,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense / Personal Contract,9
2514,2021,Jouf,Muktt 5 primary health care center in Aljowf,Ministry of Health,9
2520,2016,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Health,9
2521,2018,Jeddah,International Medical Center in Jeddah,Personal Contract,9
2523,2021,Jeddah,JointProgram for Family Medicine in Jeddah,Ministry of Health,9
2524,2018,Jeddah,East Jeddah Hospital in Jeddah,Personal Contract,9
2525,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Defense Medical Services,9
2526,2018,Riyadh,"Joint training program in the central region, Riyadh",Ministry of Health,9
2527,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Personal Contract,9
2529,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense Medical Services,9
2530,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense / Personal Contract,9
2532,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,9
2534,2016,Riyadh,"Joint training program in the central region, Riyadh",Personal Contract,9
2535,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Unknown,9
2536,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,9
2537,2020,Yanbu,Royal Commission Medical Center in Yanbu,"Royal Commission Medical Center, Yanbu",9
2539,2018,Makkah,King Abdulaziz Hospital in Mecca,Personal Contract,9
2540,2020,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Ministry of Health,9
2541,2020,Riyadh,King Fahad Medical City in Riyadh,King Saud Medical City in Riyadh,9
2543,2020,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense Medical Services,9
2544,2018,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,9
2545,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,Ministry of Health,9
2546,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,Unknown,9
2548,2018,Najran,General Directorate of Health Affairs in Najran Region,Unknown,9
2551,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Defense Medical Services,9
2556,2019,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Ministry of Health,9
2560,2019,Jeddah,East Jeddah Hospital in Jeddah,Personal Contract,9
2561,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Security Forces Hospital - Riyadh,9
2568,2016,Riyadh,King Khalid University Hospital in Riyadh,Majmaah University,9
2571,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Defense / Personal Contract,9
2572,2021,Riyadh,Joint Training Program in the Central Region,Unknown,9
2576,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,9
2578,2020,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,Unknown,9
2579,2020,Unaizah,King Saud Hospital in Unaizah,Unknown,9
2582,2016,Riyadh,King Fahad Medical City in Riyadh,Qassim University,9
2586,2018,Dammam,Forensic Medicine Center in Dammam,Ministry of Health,9
2587,2018,Dammam,Eradah Mental Health Hospital in Dammam,Ministry of Health,9
2589,2016,Riyadh,King Fahad Medical City in Riyadh,Unknown,9
2591,2019,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Ministry of Health,9
2592,2016,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,9
2594,2020,Taif,"Joint training program in the Western Region, Taif",Ministry of Health,9
2597,2018,Riyadh,King Saud Medical City in Riyadh,Ministry of Defense Medical Services,9
2600,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Kuwait Ministry of Health,9
2607,2022,Jazan,General Directorate of Health Affairs in Jazan Region,Ministry of Health,9
2608,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense,9
2609,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense Medical Services,9
2610,2017,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Ministry of Health,9
2611,2019,Riyadh,Joint Training Program in the Central Region,Personal Contract,9
2612,2018,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Personal Contract,9
2614,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense Medical Services,9
2619,2019,Riyadh,JointProgram for Restorative Dentistry- Central,Ministry of Health,9
2621,2017,Madinah,Medina Cardiac Center,Ministry of Health,9
2622,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,9
2623,2018,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Ministry of Health,9
2625,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Personal Contract,9
2627,2017,Riyadh,King Fahad Medical City in Riyadh,Qassim University,9
2630,2017,Makkah,King Abdulaziz Hospital in Mecca,Personal Contract,9
2631,2019,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,9
2633,2019,Yanbu,Royal Commission Medical Center in Yanbu,"Royal Commission Medical Center, Yanbu",9
2636,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Personal Contract,9
2641,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense Medical Services,9
2644,2017,Bisha,Directorate of Health Affairs in Bisha Governorate,Ministry of Health,9
2647,2017,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Personal Contract,9
2648,2021,Khobar,King Fahd University Hospital in Khobar,Imam Abdul Rahman Bin Faisal University,9
2649,2021,Taif,Directorate of Health Affairs in Taif Governorate,Unknown,9
2650,2016,Dammam,Eradah Mental Health Hospital in Dammam,Ministry of Health,9
2652,2021,Yanbu,Royal Commission Medical Center in Yanbu,"Royal Commission Medical Center, Yanbu",9
2653,2017,Dammam,Forensic Medicine Center in Dammam,Ministry of Health,9
2654,2017,Riyadh,Joint Training Program in the Central Region,Ministry of Health,9
2657,2017,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Ministry of Health,9
2658,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,9
2661,2016,Abha,The Medical City at King Khalid University,Ministry of Health,9
2662,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,9
2663,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense,9
2664,2019,Alqatif  ,AlQatif Central Hospital,Personal Contract,9
2669,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Armed Forces Medical Services,9
2670,2017,Riyadh,"Joint training program in the central region, Riyadh",Personal Contract,9
2671,2017,Alqatif  ,AlQatif Central Hospital,Unknown,9
2672,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Health,9
2674,2017,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Health,9
2675,2020,Makkah,Alnoor Specialist Hospital in Mecca,"Al Noor Specialist Hospital, Mecca",9
2677,2020,Madinah,Uhud General Hospital in Medina,Unknown,9
2678,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud Medical City in Riyadh,9
2679,2017,Manama,King Hamad University Hospital in Kingdom of Bahrain,King Hamad University Hospita,8
2682,2020,Hail,Dental Center in Hail,Ministry of Health,8
2683,2018,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Unknown,8
2686,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Khalid University,8
2687,2017,Dammam,Eastern Health Cluster,Ministry of Health,8
2689,2016,Buraidah,Prince Sultan Cardiac Center in Buraidah,Ministry of Health,8
2690,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,8
2691,2018,Dhahran,Eye Specialist Hospital in Dhahran,Ministry of Health,8
2694,2019,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Health,8
